Q2796795,Boetelerveld,Boetelerveld%20(Natura%202000)
Q13427923,"Abdij Lilbosch & voormalig Klooster Mariahoop",Abdij%20Lilbosch%20&%20voormalig%20Klooster%20Mariahoop%20(Natura%202000)
Q152994,"Groote Peel",Groote%20Peel%20(Natura%202000)
Q1153251,Veluwe,Veluwe%20(Natura%202000)
Q108052721,"Yerseke en Kapelse Moer",Yerseke%20en%20Kapelse%20Moer%20(Natura%202000)
Q1659558,"Noordhollands Duinreservaat",Noordhollands%20Duinreservaat%20(Natura%202000)
Q1933176,"Duinen Schiermonnikoog",Duinen%20Schiermonnikoog%20(Natura%202000)
Q92032409,"Noorbeemden & Hoogbos",Noorbeemden%20&%20Hoogbos%20(Natura%202000)
Q2282021,"Uiterwaarden Zwarte Water en Vecht",Uiterwaarden%20Zwarte%20Water%20en%20Vecht%20(Natura%202000)
Q2899515,"Weerter- en Budelerbergen & Ringselven",Weerter-%20en%20Budelerbergen%20&%20Ringselven%20(Natura%202000)
Q2274801,Savelsbos,Savelsbos%20(Natura%202000)
Q2261545,Geleenbeekdal,Geleenbeekdal%20(Natura%202000)
Q2575000,Lieftinghsbroek,Lieftinghsbroek%20(Natura%202000)
Q13575415,"Eemmeer & Gooimeer Zuidoever",Eemmeer%20&%20Gooimeer%20Zuidoever%20(Natura%202000)
Q2488478,Langstraat,Langstraat%20(Natura%202000)
Q108052701,"Regte Heide & Riels Laag",Regte%20Heide%20&%20Riels%20Laag%20(Natura%202000)
Q1970148,Norgerholt,Norgerholt%20(Natura%202000)
Q1956749,"De Wieden",De%20Wieden%20(Natura%202000)
Q108052709,"Vecht- en Beneden-Reggegebied",Vecht-%20en%20Beneden-Reggegebied%20(Natura%202000)
Q7941700,Voordelta,Voordelta%20(Natura%202000)
Q2476050,"Drentsche Aa-gebied",Drentsche%20Aa-gebied%20(Natura%202000)
Q108202521,Bargerveen,Bargerveen%20(Natura%202000)
Q13428102,"Achter de Voort, Agelerbroek & Voltherbroek","Achter%20de%20Voort,%20Agelerbroek%20&%20Voltherbroek%20(Natura%202000)"
Q2177396,Witterveld,Witterveld%20(Natura%202000)
Q13642041,Geuldal,Geuldal%20(Natura%202000)
Q108202591,Maasduinen,Maasduinen%20(Natura%202000)
Q2265990,Mantingerbos,Mantingerbos%20(Natura%202000)
Q2174280,Holtingerveld,Holtingerveld%20(Natura%202000)
Q12912237,"Gelderse Poort",Gelderse%20Poort%20(Natura%202000)
Q1702833,Biesbosch,Biesbosch%20(Natura%202000)
Q2205659,Lepelaarplassen,Lepelaarplassen%20(Natura%202000)
Q2874291,Arkemheen,Arkemheen%20(Natura%202000)
Q2138044,Boschhuizerbergen,Boschhuizerbergen%20(Natura%202000)
Q5317510,"Voornes Duin",Voornes%20Duin%20(Natura%202000)
Q108052702,Roerdal,Roerdal%20(Natura%202000)
Q108052718,"Westerschelde & Saeftinghe",Westerschelde%20&%20Saeftinghe%20(Natura%202000)
Q13748825,"Leenderbos, Groote Heide & De Plateaux","Leenderbos,%20Groote%20Heide%20&%20De%20Plateaux%20(Natura%202000)"
Q1886583,"Willinks Weust",Willinks%20Weust%20(Natura%202000)
Q108052696,"Olde Maten & Veerslootslanden",Olde%20Maten%20&%20Veerslootslanden%20(Natura%202000)
Q108052726,"Zwin & Kievittepolder",Zwin%20&%20Kievittepolder%20(Natura%202000)
Q55567322,Mantingerzand,Mantingerzand%20(Natura%202000)
Q97009767,Kempenland-West,Kempenland-West%20(Natura%202000)
Q108052706,Swalmdal,Swalmdal%20(Natura%202000)
Q108202514,Aamsveen,Aamsveen%20(Natura%202000)
Q14520231,"Wooldse Veen",Wooldse%20Veen%20(Natura%202000)
Q14312952,"Sarsven en De Banen",Sarsven%20en%20De%20Banen%20(Natura%202000)
Q92030420,Kunderberg,Kunderberg%20(Natura%202000)
Q111829858,"Landgoederen Oldenzaal",Landgoederen%20Oldenzaal%20(Natura%202000)
Q108052681,"Markermeer & IJmeer",Markermeer%20&%20IJmeer%20(Natura%202000)
Q108052688,"Nieuwkoopse Plassen & De Haeck",Nieuwkoopse%20Plassen%20&%20De%20Haeck%20(Natura%202000)
Q1651436,"Alde Feanen",Alde%20Feanen%20(Natura%202000)
Q97009768,Kennemerland-Zuid,Kennemerland-Zuid%20(Natura%202000)
Q85125137,"Meijendel & Berkheide",Meijendel%20&%20Berkheide%20(Natura%202000)
Q2292178,Naardermeer,Naardermeer%20(Natura%202000)
Q2317680,Engbertsdijksvenen,Engbertsdijksvenen%20(Natura%202000)
Q1546115,Grevelingen,Grevelingen%20(Natura%202000)
Q1739879,"Ketelmeer & Vossemeer",Ketelmeer%20&%20Vossemeer%20(Natura%202000)
Q2367286,"Schoorlse Duinen",Schoorlse%20Duinen%20(Natura%202000)
Q108052719,"Witte en Zwarte Brekken",Witte%20en%20Zwarte%20Brekken%20(Natura%202000)
Q1702823,"Sallandse Heuvelrug",Sallandse%20Heuvelrug%20(Natura%202000)
Q2187647,Bekendelle,Bekendelle%20(Natura%202000)
Q2916841,Botshol,Botshol%20(Natura%202000)
Q2188955,Korenburgerveen,Korenburgerveen%20(Natura%202000)
Q2020441,Grensmaas,Grensmaas%20(Natura%202000)
Q108052705,Stelkampsveld,Stelkampsveld%20(Natura%202000)
Q4121,IJsselmeer,IJsselmeer%20(Natura%202000)
Q525364,Lauwersmeer,Lauwersmeer%20(Natura%202000)
Q2194214,"Wierdense Veld",Wierdense%20Veld%20(Natura%202000)
Q2029068,Borkeld,Borkeld%20(Natura%202000)
Q100978454,Waddenzee,Waddenzee%20(Natura%202000)
Q2156988,"De Wilck",De%20Wilck%20(Natura%202000)
Q13574569,"Duinen Goeree & Kwade Hoek",Duinen%20Goeree%20&%20Kwade%20Hoek%20(Natura%202000)
Q3576055,Zoommeer,Zoommeer%20(Natura%202000)
Q14405636,"Strabrechtse Heide & Beuven",Strabrechtse%20Heide%20&%20Beuven%20(Natura%202000)
Q2795606,"Witte Veen",Witte%20Veen%20(Natura%202000)
Q13445392,"Broekvelden, Vettenbroek & Polder Stein","Broekvelden,%20Vettenbroek%20&%20Polder%20Stein%20(Natura%202000)"
Q21287601,"Uiterwaarden IJssel",Uiterwaarden%20IJssel%20(Natura%202000)
Q56395688,"Kop van Schouwen",Kop%20van%20Schouwen%20(Natura%202000)
Q108052679,"Loonse en Drunense Duinen & Leemkuilen",Loonse%20en%20Drunense%20Duinen%20&%20Leemkuilen%20(Natura%202000)
Q2690994,Fochteloërveen,Fochteloërveen%20(Natura%202000)
Q2531401,Elperstroomgebied,Elperstroomgebied%20(Natura%202000)
Q2229392,"Wijnjeterper Schar",Wijnjeterper%20Schar%20(Natura%202000)
Q1898920,"Duinen Ameland",Duinen%20Ameland%20(Natura%202000)
Q2258480,Drouwenerzand,Drouwenerzand%20(Natura%202000)
Q1887710,"Oostelijke Vechtplassen",Oostelijke%20Vechtplassen%20(Natura%202000)
Q108052725,"Zwarte Meer",Zwarte%20Meer%20(Natura%202000)
Q42314111,"Uiterwaarden Waal",Uiterwaarden%20Waal%20(Natura%202000)
Q2643534,"Bunder- en Elslooërbos",Bunder-%20en%20Elslooërbos%20(Natura%202000)
Q108052677,"Loevestein, Pompveld & Kornsche Boezem","Loevestein,%20Pompveld%20&%20Kornsche%20Boezem%20(Natura%202000)"
Q108052660,Krammer-Volkerak,Krammer-Volkerak%20(Natura%202000)
Q108052713,Vogelkreek,Vogelkreek%20(Natura%202000)
Q2676041,"Oudegaasterbrekken, Fluessen en omgeving","Oudegaasterbrekken,%20Fluessen%20en%20omgeving%20(Natura%202000)"
Q12012455,"Bergvennen & Brecklenkampse Veld",Bergvennen%20&%20Brecklenkampse%20Veld%20(Natura%202000)
Q2080783,"Groote Wielen",Groote%20Wielen%20(Natura%202000)
Q958780,"Veerse Meer",Veerse%20Meer%20(Natura%202000)
Q108052704,"Springendal & Dal van de Mosbeek",Springendal%20&%20Dal%20van%20de%20Mosbeek%20(Natura%202000)
Q1786960,Oostvaardersplassen,Oostvaardersplassen%20(Natura%202000)
Q1266165,Oosterschelde,Oosterschelde%20(Natura%202000)
Q59821829,"Sint Pietersberg & Jekerdal",Sint%20Pietersberg%20&%20Jekerdal%20(Natura%202000)
Q13427979,"Abtskolk & De Putten",Abtskolk%20&%20De%20Putten%20(Natura%202000)
Q2297820,Canisvliet,Canisvliet%20(Natura%202000)
Q14364867,"Solleveld & Kapittelduinen",Solleveld%20&%20Kapittelduinen%20(Natura%202000)
Q2856373,"Duinen Vlieland",Duinen%20Vlieland%20(Natura%202000)
Q2591191,Zouweboezem,Zouweboezem%20(Natura%202000)
Q2353990,"Donkse Laagten",Donkse%20Laagten%20(Natura%202000)
Q111692336,"Rottige Meenthe & Brandemeer",Rottige%20Meenthe%20&%20Brandemeer%20(Natura%202000)
Q228662,Zuidlaardermeergebied,Zuidlaardermeergebied%20(Natura%202000)
Q111829845,Lemselermaten,Lemselermaten%20(Natura%202000)
Q108052647,"Hollands Diep",Hollands%20Diep%20(Natura%202000)
Q108202540,Deelen,Deelen%20(Natura%202000)
Q108202551,"Duinen en Lage Land Texel",Duinen%20en%20Lage%20Land%20Texel%20(Natura%202000)
Q2101828,Sneekermeergebied,Sneekermeergebied%20(Natura%202000)
Q3183833,Eilandspolder,Eilandspolder%20(Natura%202000)
Q4991379,"Duinen Terschelling",Duinen%20Terschelling%20(Natura%202000)
Q2310949,Brunssummerheide,Brunssummerheide%20(Natura%202000)
Q2453694,"Zeldersche Driessen",Zeldersche%20Driessen%20(Natura%202000)
Q108052695,Noordzeekustzone,Noordzeekustzone%20(Natura%202000)
Q13744071,Klaverbank,Klaverbank%20(Natura%202000)
Q1651303,Dwingelderveld,Dwingelderveld%20(Natura%202000)
Q105338006,"Van Oordt's Mersken",Van%20Oordt's%20Mersken%20(Natura%202000)
Q49629517,"Oudeland van Strijen",Oudeland%20van%20Strijen%20(Natura%202000)
Q108202543,Doggersbank,Doggersbank%20(Natura%202000)
Q108052675,"Lingegebied & Diefdijk-Zuid",Lingegebied%20&%20Diefdijk-Zuid%20(Natura%202000)
Q111829535,"Zwanenwater & Pettemerduinen",Zwanenwater%20&%20Pettemerduinen%20(Natura%202000)
Q2122025,"De Bruuk",De%20Bruuk%20(Natura%202000)
Q1551989,"Oude Maas",Oude%20Maas%20(Natura%202000)
Q2683880,"Polder Zeevang",Polder%20Zeevang%20(Natura%202000)
Q1585393,Haringvliet,Haringvliet%20(Natura%202000)
Q61715610,"Vlijmens Ven, Moerputten & Bossche Broek","Vlijmens%20Ven,%20Moerputten%20&%20Bossche%20Broek%20(Natura%202000)"
Q111829866,"Uiterwaarden Lek",Uiterwaarden%20Lek%20(Natura%202000)
Q1939329,"Boezems Kinderdijk",Boezems%20Kinderdijk%20(Natura%202000)
Q2314509,Coepelduynen,Coepelduynen%20(Natura%202000)
Q1910627,Binnenveld,Binnenveld%20(Natura%202000)
Q1810714,"Groote Gat",Groote%20Gat%20(Natura%202000)
Q2648552,"Ulvenhoutse Bos",Ulvenhoutse%20Bos%20(Natura%202000)
